weeks,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
14,1964,0.462,0.803,2,-8.357,1,0.0585,0.152,0,0.0788,0.896,137.789,163327
14,1964,0.734,0.57,7,-7.066,0,0.133,0.847,2.14E-05,0.112,0.689,129.953,95467
14,1964,0.494,0.861,5,-5.236,1,0.0365,0.257,0,0.103,0.668,172.052,181613
14,1964,0.52,0.195,6,-11.05,0,0.0513,0.919,0.0132,0.145,0.193,79.945,212096
14,1964,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,209386
14,1964,,,,,,,,,,,,
14,1964,0.599,0.403,9,-12.737,1,0.0299,0.754,0.000314,0.131,0.523,124.013,158413
14,1964,0.785,0.675,1,-5.422,1,0.0292,0.575,0.0101,0.0851,0.912,109.597,133307
14,1964,0.229,0.943,2,-3.577,1,0.0483,4.69E-06,0.647,0.317,0.0394,100.635,174440
14,1964,0.595,0.279,2,-12.794,1,0.0306,0.838,0.00605,0.0841,0.212,92.345,176080
14,1964,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08E-06,0.293,0.502,127.034,177689
14,1964,0.54,0.761,4,-5.339,1,0.0372,0.0163,0,0.0941,0.147,100.008,232907
14,1964,0.573,0.939,8,-6.441,1,0.0808,0.493,0,0.0994,0.963,137.382,134253
14,1964,0.354,0.472,5,-13.215,0,0.0464,0.449,0,0.28,0.541,96.026,149040
14,1964,0.657,0.435,10,-15.707,1,0.0552,0.739,0,0.167,0.771,135.975,181133
13,1964,0.718,0.709,4,-5.568,1,0.039,0.258,0,0.101,0.54,119.974,179427
13,1964,,,,,,,,,,,,
13,1964,,,,,,,,,,,,
25,1965,0.435,0.19,7,-15.86,0,0.0274,0.833,0.835,0.102,0.354,85.704,272560
18,1965,0.696,0.692,0,-9.586,1,0.0575,0.577,0.000688,0.246,0.904,140.978,138867
16,1965,,,,,,,,,,,,
16,1965,,,,,,,,,,,,
15,1965,0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62E-05,0.112,0.206,102.128,219147
15,1965,0.771,0.68,11,-5.881,0,0.224,0.277,1.18E-05,0.682,0.808,119.952,276160
15,1965,,,,,,,,,,,,
15,1965,,,,,,,,,,,,
15,1965,0.775,0.679,4,-4.985,0,0.135,0.18,7.26E-05,0.068,0.619,166.008,193456
15,1965,0.589,0.878,4,-4.493,1,0.0359,0.0247,1.07E-05,0.285,0.836,149.987,180405
15,1965,0.573,0.939,8,-6.441,1,0.0808,0.493,0,0.0994,0.963,137.382,134253
15,1965,,,,,,,,,,,,
15,1965,0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958,205687
14,1965,0.78,0.708,5,-5.692,0,0.0549,0.0395,0.0798,0.0516,0.345,109.023,244480
14,1965,0.673,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.744,201287
14,1965,0.797,0.629,7,-7.587,1,0.154,0.284,0,0.113,0.659,90.002,173333
14,1965,0.571,0.692,0,-6.656,0,0.0545,0.0245,0,0.0813,0.22,127.937,214187
14,1965,0.599,0.512,1,-8.072,1,0.0358,0.297,1.38E-05,0.0688,0.136,118.003,155773
14,1965,0.711,0.604,5,-5.392,1,0.0503,0.0213,0.00158,0.0571,0.361,175.597,182523
14,1965,0.764,0.628,0,-10.961,1,0.048,0.336,0,0.0977,0.823,109.008,216387
14,1965,,,,,,,,,,,,
14,1965,0.738,0.451,7,-12.949,1,0.146,0.572,0,0.175,0.793,128.853,113200
14,1965,,,,,,,,,,,,
14,1965,,,,,,,,,,,,
14,1965,0.732,0.506,7,-11.735,1,0.0462,0.688,1.04E-06,0.146,0.867,126.325,163093
14,1965,0.602,0.629,9,-5.796,1,0.0274,0.0548,2.23E-06,0.0813,0.47,78.009,295453
14,1965,,,,,,,,,,,,
14,1965,0.559,0.949,7,-3.637,1,0.118,0.00151,5.54E-06,0.134,0.764,104.014,177920
14,1965,0.744,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.966,289133
14,1965,0.774,0.729,2,-7.806,1,0.293,0.228,0,0.257,0.475,104.009,254453
14,1965,0.536,0.862,8,-4.12,1,0.0523,0.005,0.000335,0.058,0.528,127.978,255173
14,1965,0.667,0.679,0,-6.616,1,0.0475,0.0064,5.28E-05,0.17,0.32,100.054,167606
14,1965,0.364,0.241,8,-14.462,1,0.0476,0.964,0.9,0.113,0.194,122.395,382986
14,1965,0.458,0.55,2,-7.092,1,0.0262,0.566,1.39E-05,0.108,0.56,90.56,198360
14,1965,,,,,,,,,,,,
14,1965,,,,,,,,,,,,
14,1965,0.21,0.499,2,-9.754,0,0.0485,0.0687,0.00315,0.773,0.108,74.094,390493
13,1965,0.582,0.831,0,-3.644,1,0.0494,0.457,0.000339,0.17,0.722,147.981,95493
13,1965,0.28,0.993,11,-1.475,1,0.283,0.00185,0,0.332,0.31,143.049,106147
13,1965,0.687,0.35,5,-11.484,1,0.0344,0.623,0,0.0861,0.435,119.508,186693
13,1965,0.77,0.896,0,-3.971,1,0.039,0.0539,0,0.243,0.964,126.999,182587
13,1965,0.659,0.717,9,-7.816,1,0.0318,0.331,0.911,0.127,0.384,139.952,316919
13,1965,,,,,,,,,,,,
13,1965,0.339,0.208,0,-16.725,1,0.0308,0.396,0.000519,0.18,0.288,98.54,218013
13,1965,,,,,,,,,,,,
13,1965,0.572,0.418,0,-10.738,1,0.0349,0.635,0,0.0961,0.694,104.566,165000
13,1965,0.315,0.789,0,-6.407,1,0.0564,0.481,9.71E-06,0.105,0.431,129.172,153627
13,1965,0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,213307
13,1965,0.285,0.843,4,-7.318,1,0.129,0.00103,0.00037,0.327,0.282,97.051,229173
13,1965,,,,,,,,,,,,
30,1966,0.336,0.636,0,-13.785,1,0.0374,0.385,0.909,0.414,0.521,152.423,157760
29,1966,0.435,0.19,7,-15.86,0,0.0274,0.833,0.835,0.102,0.354,85.704,272560
19,1966,0.592,0.917,9,-1.278,1,0.0275,0.00637,1.30E-06,0.112,0.682,127.439,264533
18,1966,0.623,0.709,1,-9.818,0,0.0636,0.102,0,0.0967,0.948,122.394,165381
17,1966,0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164,189840
